episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/grad_gnorm,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
740.8418221269487,300.10639359424636,460.09409521601066,25.666666666666668,0,0,88,88,False,3,11,44e518443d804039b1d9992e40c8613d,2021-05-20_23-54-11,1621544051,8.166422605514526,167.52198100090027,12548,DESKTOP-NVK3716,192.168.0.25,167.52198100090027,0,11,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487]","[37, 7, 33]",21.343,234.27,88,88,105,105,88,11,78.83333333333334,71.38333333333331,0.0,7.4115877,0.0001,0.5594084858894348,-0.15840654075145721,1.372685432434082,-54.60773468017578
740.8418221269487,300.10639359424636,460.09409521601066,25.666666666666668,0,0,96,96,False,3,12,44e518443d804039b1d9992e40c8613d,2021-05-20_23-54-19,1621544059,8.16039752960205,175.68237853050232,12548,DESKTOP-NVK3716,192.168.0.25,175.68237853050232,0,12,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487]","[37, 7, 33]",21.044,237.601,96,96,115,115,96,12,77.76363636363637,71.43636363636364,0.0,4.5973463,0.0001,0.22045882046222687,-0.1038246750831604,0.522877037525177,-155.26634216308594
740.8418221269487,300.10639359424636,460.09409521601066,25.666666666666668,0,0,104,104,False,3,13,44e518443d804039b1d9992e40c8613d,2021-05-20_23-54-28,1621544068,8.153949737548828,183.83632826805115,12548,DESKTOP-NVK3716,192.168.0.25,183.83632826805115,0,13,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487]","[37, 7, 33]",19.947,250.667,104,104,125,125,104,13,80.575,71.77499999999999,0.0,8.375771,0.0001,0.5241656303405762,-0.04400366544723511,0.9983686804771423,-205.2532501220703
740.8418221269487,300.10639359424636,460.09409521601066,25.666666666666668,0,0,112,112,False,3,14,44e518443d804039b1d9992e40c8613d,2021-05-20_23-54-36,1621544076,8.135685682296753,191.9720139503479,12548,DESKTOP-NVK3716,192.168.0.25,191.9720139503479,0,14,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487]","[37, 7, 33]",19.648,254.484,112,112,135,135,112,14,75.0,72.04166666666667,0.0,4.9986534,0.0001,0.643995463848114,0.4599476158618927,1.09548020362854,-54.21708297729492
740.8418221269487,300.10639359424636,460.09409521601066,25.666666666666668,0,0,120,120,False,3,15,44e518443d804039b1d9992e40c8613d,2021-05-20_23-54-44,1621544084,8.151267051696777,200.12328100204468,12548,DESKTOP-NVK3716,192.168.0.25,200.12328100204468,0,15,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487]","[37, 7, 33]",19.149,261.112,120,120,145,145,120,15,79.53333333333335,71.51666666666667,0.0,6.3910656,0.0001,0.8537339568138123,0.3015114963054657,1.1983628273010254,-205.60806274414062
740.8418221269487,286.58963084455957,416.71797912314787,32.0,1,0,128,128,False,4,16,44e518443d804039b1d9992e40c8613d,2021-05-20_23-55-20,1621544120,35.6899847984314,235.81326580047607,12548,DESKTOP-NVK3716,192.168.0.25,235.81326580047607,0,16,16ca5_00000,"[286.58963084455957, 339.3340699268369, 300.10639359424636, 740.8418221269487]","[51, 37, 7, 33]",18.251,273.951,128,128,155,155,128,16,74.38627450980391,71.26078431372548,0.0,3.8698943,0.0001,0.3585483133792877,0.14730051159858704,1.0172353982925415,-303.5865173339844
740.8418221269487,286.58963084455957,416.71797912314787,32.0,0,0,136,136,False,4,17,44e518443d804039b1d9992e40c8613d,2021-05-20_23-55-28,1621544128,8.235005378723145,244.04827117919922,12548,DESKTOP-NVK3716,192.168.0.25,244.04827117919922,0,17,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487, 286.58963084455957]","[37, 7, 33, 51]",17.154,291.471,136,136,165,165,136,17,84.85454545454546,71.55454545454546,0.0,8.520273,0.0001,0.37231603264808655,0.15441671013832092,0.7983437776565552,-206.38121032714844
740.8418221269487,64.21564566371751,346.2175124312618,28.2,1,0,144,144,False,5,18,44e518443d804039b1d9992e40c8613d,2021-05-20_23-55-54,1621544154,26.0506534576416,270.0989246368408,12548,DESKTOP-NVK3716,192.168.0.25,270.0989246368408,0,18,16ca5_00000,"[64.21564566371751, 339.3340699268369, 300.10639359424636, 740.8418221269487, 286.58963084455957]","[13, 37, 7, 33, 51]",16.755,298.414,144,144,175,175,144,18,71.54594594594596,72.00270270270269,0.0,2.037792,0.0001,0.9681620597839355,0.5471972227096558,1.5236921310424805,-86.9468994140625
740.8418221269487,64.21564566371751,346.2175124312618,28.2,0,0,152,152,False,5,19,44e518443d804039b1d9992e40c8613d,2021-05-20_23-56-03,1621544163,8.170454263687134,278.26937890052795,12548,DESKTOP-NVK3716,192.168.0.25,278.26937890052795,0,19,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487, 286.58963084455957, 64.21564566371751]","[37, 7, 33, 51, 13]",17.753,281.65,152,152,185,185,152,19,77.76666666666667,72.43333333333332,0.0,4.3518586,0.0001,1.065656065940857,0.3524867296218872,2.0986320972442627,-106.95116424560547
740.8418221269487,64.21564566371751,346.2175124312618,28.2,0,0,160,160,False,5,20,44e518443d804039b1d9992e40c8613d,2021-05-20_23-56-11,1621544171,8.178954601287842,286.4483335018158,12548,DESKTOP-NVK3716,192.168.0.25,286.4483335018158,0,20,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487, 286.58963084455957, 64.21564566371751]","[37, 7, 33, 51, 13]",18.251,273.953,160,160,195,195,160,20,80.59166666666667,72.55833333333332,0.0,13.285409,0.0001,1.5198339223861694,0.7860118746757507,2.896897792816162,-104.9760971069336
740.8418221269487,64.21564566371751,346.2175124312618,28.2,0,0,168,168,False,5,21,44e518443d804039b1d9992e40c8613d,2021-05-20_23-56-19,1621544179,8.174023389816284,294.6223568916321,12548,DESKTOP-NVK3716,192.168.0.25,294.6223568916321,0,21,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487, 286.58963084455957, 64.21564566371751]","[37, 7, 33, 51, 13]",18.95,263.849,168,168,205,205,168,21,77.55833333333332,72.66666666666669,0.0,5.35272,0.0001,1.0274049043655396,0.46080246567726135,1.4037175178527832,-85.23860931396484
740.8418221269487,64.21564566371751,346.2175124312618,28.2,0,0,176,176,False,5,22,44e518443d804039b1d9992e40c8613d,2021-05-20_23-56-27,1621544187,8.197048664093018,302.8194055557251,12548,DESKTOP-NVK3716,192.168.0.25,302.8194055557251,0,22,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487, 286.58963084455957, 64.21564566371751]","[37, 7, 33, 51, 13]",21.543,232.093,176,176,215,215,176,22,78.65,72.71666666666668,0.0,4.0107865,0.0001,0.9135076403617859,0.5082181692123413,1.4598045349121094,-85.93001556396484
740.8418221269487,64.21564566371751,346.2175124312618,28.2,0,0,184,184,False,5,23,44e518443d804039b1d9992e40c8613d,2021-05-20_23-56-36,1621544196,8.173441410064697,310.9928469657898,12548,DESKTOP-NVK3716,192.168.0.25,310.9928469657898,0,23,16ca5_00000,"[339.3340699268369, 300.10639359424636, 740.8418221269487, 286.58963084455957, 64.21564566371751]","[37, 7, 33, 51, 13]",21.743,229.961,184,184,225,225,184,23,82.49090909090908,73.26363636363637,0.0,3.6178179,0.0001,1.2259465456008911,0.5569533705711365,2.4316930770874023,-107.2846908569336
